caseid,year,id,age,sex,race,hispanic,racehisp,uscitzn,educ,degree,vetyears,wordsum,cohort,birthmo,zodiac,wrkstat,wrkslf,wrkgovt,marital,sibs,childs,res16,reg16,mobile16,born,region,xnorcsiz,srcbelt,size,vote12,pres12,if12who,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,eqwlth,tax,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmil,colmil,libmil,spkhomo,colhomo,libhomo,spkmslm,colmslm,libmslm,cappun,gunlaw,courts,grass,uswar,uswary,relig,denom,other,fund,attend,reliten,pray,prayer,bible,affrmact,wrkwayup,closeblk,closewht,happy,hapmar,health,life,helpful,fair,trust,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,obey,popular,thnkself,workhard,helpoth,socrel,socommun,socfrend,socbar,class,rank,satfin,finalter,finrela,unemp,union,getahead,parsol,kidssol,fepol,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,chldidel,pillok,sexeduc,divlaw,premarsx,teensex,xmarsex,homosex,pornlaw,spanking,letdie1,suicide1,suicide2,suicide3,suicide4,owngun,pistol,shotgun,rifle,rowngun,hunt,news,tvhours,phone,coop,comprend,form,fechld,fepresch,fefam,racdif1,racdif2,racdif3,racdif4,rushed,bored,helppoor,helpnot,helpsick,helpblk,compuse,webmob,emailmin,emailhr,usewww,wwwhr,wwwmin,genegen,letin1,sexornt,inthisp,intrace1,intrace2,intrace3,spanself,spanint,ballot,version,issp,sampcode,sample,samplerc,rsampcode,phase,vpsu,vstrat,wtss,wtssnr,wtssall,formwt,oversamp,lngthinv,intage,easyget,intethn,mode,intsex,feelevel,intyrs,artexbt,bigbang2,brlawfl,brnotax,cctv,clssmtes,discwk5,emonitor,evolved2,facebook,famorjob,flexhrs1,flickr,found,gendereq,givinffor,givinfusa,googlesn,govtinfo,gvinflu1,gvinflu2,harass5,hlthstrt,hope1,hope2,hope3,hope4,hope5,hope6,huadd,huaddwhy,hunt1,income16,incuspop,intmbile,intrecnt,intstart,intuse,intwkdyh,intwkdym,intwkenh,intwkenm,kidsinhh,leasthrs,linkedin,lotr1,lotr2,lotr3,lotr4,lotr5,lotr6,lowpay,pinterst,polgbeco,prvdhlth,prvdold,prvdschl,racethas,racethbl,racethhi,racethna,racethot,racethwh,rcontact,respond,rgroomed,rhlthend,rincom16,rlooks,rweight,sei10,sei10educ,sei10inc,sethrs,snapchat,snsmyear,tumblr,twitter,union1,unionsbd,usualhrs,vine,whatsapp,hotcore,boyorgrl,electron,bigbang,condrift,evolved,earthsun,radioact,viruses,lasers,spend18,partyid,hotcore_r,boyorgrl_r,electron_r,bigbang_r,condrift_r,evolved_r,earthsun_r,radioact_r,viruses_r,science_quiz,lasers_r,lotr2_rev,lotr4_rev,lotr5_rev,lot_scale,future_scale,abany_r,abdefect_r,abpoor_r,abhlth_r,abnomore_r,abrape_r,absingle_r,abortion,social_disconnect,authoritarianism,spkath_r,spkcom_r,spkhomo_r,spkmil_r,spkmslm_r,spkrac_r,tolerance,assisted,social_media,fechld_rev,femrole,obamavote,race2,unionhh,envir_spend,age5,female,fair_r,trust_r,social_trust
60642,2016,1043,62,2,1,1,1,,16,3,0,5,1954,,2,5,2,2,1,5,0,4,3,1,1,3,4,4,12,1,1,,4,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,1,5,,,,,,,,,,,,,,,,,,,,2,,3,2,2,,2,,,2,7,1,1,1,1,3,1,,,1,1,,,1,2,2,1,2,1,2,3,1,3,2,3,2,2,3,1,1,5,2,4,3,3,5,6,7,3,5,1,3,4,2,2,,1,1,2,,,,,,,,8,4,1,2,1,1,,,1,1,2,2,2,2,2,,,,,,,1,3,3,1,1,1,3,2,2,1,2,2,2,,,1,3,1,3,1,,0,2,,8,0,,2,3,1,1,,,,,2,2,1,618,10,9,618,1,1,3238,.9569935115,.7867237307,.9569935115,1,1,130,48,,1,1,2,,6,,,1,4,3,2,,4,2,1,,,2," ",1,1,1,2,7,3,10,,,8,8,8,8,8,7,1,,,18,2,1,1,1978,1,8,0,1,0,1,,2,4,2,4,2,2,4,,1,2,1,1,1,,,,,,,,1,4,,,5,3,39.7,55.9,30.9,,2,2014,2,2,2,,,2,2,1,1,1,,2,,1,1,2,8,26,0,1,1,1,,0,,1,0,1,,0,4,4,4,18,41,,,,,,,,,11,4,,,,,,,,0,2,2,3,,0,1,4,5,1,3,1,2
60643,2016,1044,23,2,1,1,1,,12,1,0,,1993,,3,2,2,2,5,1,0,4,3,2,1,3,4,4,12,2,,,4,2,2,1,1,1,2,1,2,1,3,3,1,1,2,2,1,2,2,3,1,1,4,2,2,5,1,2,4,1,,,,1,4,2,2,5,1,1,1,2,2,,,4,,,3,0,4,6,,3,,,4,9,1,,2,1,2,2,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,5,3,2,4,,,,,3,4,2,1,4,2,4,1,3,2,,1,1,1,2,1,2,,,,,,,,1,4,2,,,,,,,1,1,2,2,2,4,,,6,1,2,1,,,,,,,,2,2,3,5,4,,,,,,,,,,,3,1,1,,,,,3,3,1,618,10,9,618,2,1,3238,1.564363363,1.286029389,1.564363363,1,1,96,38,,1,1,2,75,1,2,,,,,2,2,,,1,3,3,1," ",,,,2,,,,2,,7,7,7,7,7,6,1,,4,20,2,1,2,2005,1,4,0,4,0,2,25,2,3,2,3,2,2,4,,1,,,,,0,0,0,0,0,10,2,1,4,,10,4,2,24.2,40.8,11.3,2,1,2007,2,2,4,3,38,2,2,,,,,,,,,,,30,3,,,,,,,,,,,,4,4,4,16,35,,1,0,1,1,1,0,,,5,1,0,1,,0,0,,,4,,,,0,0,2,1,1,3,1,2
60644,2016,1045,43,2,1,1,1,,16,3,0,7,1973,,12,1,2,2,1,7,1,5,3,1,1,3,4,4,12,3,,2,6,2,2,2,,1,1,1,,1,2,3,1,,1,2,2,1,1,,2,1,4,2,1,5,2,1,5,2,1,4,2,1,4,2,1,4,2,1,1,2,,,1,1,70,,2,2,1,1,2,2,4,1,5,5,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,3,6,4,6,3,5,2,1,3,,,1,,,2,1,2,1,2,1,2,2,2,4,1,2,1,1,1,1,,1,1,1,2,2,2,1,1,1,1,1,4,4,1,3,3,1,1,1,3,2,2,2,2,1,,,,,,,1,,0,15,,0,0,1,3,,1,1,,,,,1,1,1,618,10,9,618,1,1,3238,.9569935115,.7867237307,.9569935115,1,1,82,48,,1,1,2,,6,,,3,3,2,,,3,,,,,," ",2,2,2,,6,3,100,,,,,,,,,1,,4,25,3,,,,,,,,,1,,,,,,,,,,,2,3,3,1,,,,,,,,1,3,,21,3,3,57.4,63.9,66.2,,,,,,,,,,,1,1,1,1,1,2,1,2,2,2,,6,1,1,1,1,1,0,1,1,1,9,1,,,,,,0,1,0,1,0,1,0,3,10,,1,1,1,1,1,1,6,2,,4,6,0,0,,3,3,1,,,
60645,2016,1046,46,2,1,1,1,,14,1,0,,1970,,4,1,2,2,3,4,1,3,3,2,1,3,4,4,12,1,1,,6,,,,,,,,,,,,1,2,1,2,2,3,1,3,1,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,2,1,2,2,,,2,,,2,7,1,3,,1,,,5,9,2,,2,2,1,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,4,5,1,2,3,,,,,2,4,2,3,2,1,1,1,4,2,,2,2,2,2,2,2,2,,,,,,,1,1,1,,,,,,,2,2,2,2,,4,,,3,2,1,2,,,,,,,,2,,2,,3,4,,,,,,,,,,3,1,1,,,,,3,3,1,618,10,9,618,1,1,3238,.9569935115,.7867237307,.9569935115,1,1,77,48,,1,1,2,,6,2,,,,,,2,,,,3,3,," ",,,,,,,,1,2,8,5,6,5,6,5,1,,4,19,2,,,,2,,,,,1,40,,4,2,4,2,2,4,,,,,,,0,0,0,0,0,10,1,1,3,2,18,3,3,43.9,38.2,56.9,1,,,,,1,4,48,,,,,,,,,,,,,,5,,,,,,,,,,,,4,4,4,18,29,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,6,,,,,,0,1,,3,1,3,1,2
60646,2016,1047,34,1,1,1,1,,16,3,0,7,1982,,12,1,2,2,1,2,1,3,3,2,1,3,4,4,12,1,1,,3,,,,,,,,,,,,2,2,3,2,2,2,1,,1,1,4,1,2,5,1,1,5,2,1,5,1,1,4,2,2,5,1,1,1,2,,,1,1,70,,2,6,1,1,1,2,4,1,4,9,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,3,2,3,4,3,4,1,1,4,,,3,,,2,1,2,1,2,1,2,2,2,2,1,2,3,1,1,1,,3,1,1,2,2,2,1,2,1,2,1,3,1,1,6,1,1,2,2,3,3,1,2,1,2,,,,,,,1,,30,1,,2,0,3,3,,1,1,,,,,1,1,1,618,10,9,618,1,1,3238,.9569935115,.7867237307,.9569935115,1,1,92,38,,1,1,2,75,1,,1,1,3,2,,,2,1,,,,," ",3,2,2,,7,3,10,,1,,,,,,,1,,3,24,2,,,,,,,,,1,,,,,,,,,,,1,1,3,1,,,,,,,,1,5,1,19,5,3,69.3,86.7,68.4,,,,,,,,,,,1,2,1,,1,,1,2,8,2,,2,1,0,1,,1,,1,1,0,,1,,,,,,0,1,0,1,0,1,0,3,5,,1,1,1,1,0,0,4,2,,3,6,,0,,,2,0,,,
60647,2016,1048,40,1,1,1,1,,19,4,0,10,1976,,3,1,2,1,1,3,2,2,3,2,1,3,4,4,12,1,2,,4,,,,,,,,,,,,1,2,1,1,1,2,1,4,,,,,,,,,,,,,,,,,,,,1,,2,1,1,,4,,,3,2,4,6,1,3,,3,,,2,2,,,3,,2,2,2,3,3,2,3,2,3,3,1,2,3,2,4,5,1,2,3,4,7,4,5,3,4,1,1,4,2,2,,3,,2,,,,,,,,8,2,1,3,4,3,,,2,2,1,1,1,1,1,,,,,,,1,1,3,2,1,2,2,3,3,,2,1,2,,,3,3,2,4,1,,30,8,,60,0,,3,3,1,1,,,,,2,2,1,618,10,9,618,2,1,3238,1.564363363,1.286029389,1.564363363,1,1,81,38,,1,1,2,75,1,1,,,,,2,2,,,1,1,3,2," ",,,,2,,,,2,2,,,,,,,1,,,25,2,1,1,1991,1,9,0,9,0,1,,1,,,,,,,,2,,,,,,,,,,,2,1,3,2,22,4,2,91.1,99.4,91.5,,2,2007,2,1,2,4,,2,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,2,3,3,6,,0,1,,2,0,,1,
60648,2016,1049,56,1,1,1,1,,16,3,0,6,1960,,4,5,2,1,2,5,2,3,3,2,1,3,4,4,12,1,1,,4,,,,,,,,,,,,1,2,2,1,1,1,1,,1,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,2,1,1,,,2,2,,,2,0,2,4,1,2,4,2,5,5,2,,3,2,,,,,,,,,,,,,,,,,,,,,,4,4,4,7,3,4,2,3,2,,,1,,,2,1,1,1,2,1,1,1,3,2,1,1,4,2,1,4,,3,2,1,2,2,1,2,2,2,2,,4,3,4,6,2,1,2,2,3,4,1,2,1,1,,,,,,,2,1,0,1,,6,0,4,3,,1,1,,,,,1,1,1,618,10,9,618,1,1,3238,.4784967557,.3933618654,.4784967557,1,1,75,48,,1,1,2,50,6,,1,2,1,2,,,4,1,,,,," ",2,2,2,,4,3,8,,2,,,,,,,1,,4,18,2,,,,,,,,,2,,,,,,,,,,,1,1,1,1,,,,,,,,1,3,2,,3,2,42.9,73.5,23.4,,,,,,,,,,,1,1,2,,1,,1,2,1,2,,1,1,1,0,,1,,1,1,0,,1,,,,,,1,1,0,1,1,1,1,6,9,,1,1,1,1,1,1,6,1,,3,7,,0,,,4,0,,,
60649,2016,1050,25,2,1,1,1,,16,3,0,,1991,,1,1,2,1,1,2,0,3,3,2,1,3,4,4,12,1,1,,3,2,1,1,1,2,1,1,1,3,2,2,2,3,3,2,1,2,1,2,2,1,4,2,1,5,1,1,4,1,1,5,2,1,4,2,2,5,1,2,1,2,1,,,1,60,20,2,8,2,1,,1,,,7,9,1,1,2,1,1,2,1,2,2,2,1,2,2,3,2,2,2,1,3,2,4,5,2,3,1,,,,,3,5,2,1,3,1,1,2,2,2,,1,2,1,2,1,2,2,,,,,,,1,4,1,,,,,,,2,2,2,2,,4,,,6,1,1,1,,,,,,,,2,2,2,3,1,1,,,,,,,,,,3,1,1,,,,,3,3,1,618,10,9,618,2,1,3238,1.564363363,1.286029389,1.564363363,1,1,100,69,,1,2,2,,6,1,,,,,2,2,,,1,3,2,2," ",,,,1,,,,2,,8,8,7,7,8,7,1,,4,20,2,1,1,1997,1,3,0,2,0,2,45,2,4,2,3,2,2,4,,1,,,,,0,0,0,0,0,10,1,1,,,18,,,80.9,98.9,60.7,3,2,2009,2,2,1,5,50,2,2,,,,,,,,,,,31,1,,,,,,,,,,,,4,4,4,17,39,0,1,0,1,0,1,0,3,,2,1,1,1,1,0,1,5,,3,,,,0,1,4,1,1,3,3,3
60650,2016,1051,77,2,1,1,1,,12,1,0,,1939,,7,5,2,2,1,0,2,3,3,1,1,3,5,4,14,,,,4,3,2,2,2,3,1,2,2,2,3,3,2,1,2,2,2,2,2,7,2,1,4,2,2,5,1,2,4,1,2,5,1,2,4,1,2,5,1,1,1,2,1,,,2,,,2,2,2,2,,1,,,5,5,2,1,1,1,1,2,2,2,2,2,2,3,,2,2,2,2,2,3,1,5,4,1,2,3,,,,,2,5,2,3,3,2,4,3,3,4,,1,1,1,1,1,1,2,,,,,,,1,4,,,,,,,,1,2,1,2,2,4,,,6,1,1,1,,,,,,,,3,2,4,1,4,3,,,,,,,,,,,1,1,,,,,3,3,1,618,10,9,618,2,1,3238,1.564363363,1.286029389,1.564363363,1,1,106,54,,3,2,2,75,2,2,,,,,,2,,,,1,2,," ",,,,,,,,2,,1,3,6,1,3,1,1,,4,16,3,,,,2,,,,,2,,,3,3,3,3,3,3,,,,,,,0,0,0,0,0,10,,2,,,,,,38.8,57.6,27.8,,,,,,4,3,,,,,,,,,,,,,,38,2,,,,,,,,,,,,3,3,3,12,9,0,1,1,1,1,1,1,6,,0,1,0,0,0,0,0,1,,,,,,0,0,2,5,1,3,1,2
60651,2016,1052,30,1,1,1,1,,17,3,0,8,1986,,5,2,2,2,5,1,0,5,3,1,1,3,5,4,14,1,1,,1,2,1,3,1,3,3,1,1,3,2,1,2,1,1,2,1,1,1,,2,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,,1,1,,,,4,,,3,2,4,5,1,2,3,4,6,5,2,,3,1,,,,,,,,,,,,,,,,,,,,,,4,7,2,4,3,8,3,1,2,,,3,,,2,1,1,1,1,1,1,1,2,1,1,,4,2,3,4,,2,1,1,1,1,1,2,2,2,2,,4,1,1,6,1,1,1,1,3,3,1,2,1,2,,,,,,,1,,0,17,,60,0,4,,,1,1,,,,,1,1,1,618,10,9,618,2,1,3238,1.564363363,1.286029389,1.564363363,1,1,136,38,,1,1,2,75,1,,,3,1,2,,,4,,,,,," ",1,4,4,,2,3,1,,,,,,,,,1,,4,19,3,,,,,,,,,2,,,,,,,,,,,2,1,1,1,,,,,,,,2,3,,4,4,4,61.4,82.5,55,,,,,,,,,,,1,8,1,1,1,1,1,2,2,2,30,2,1,0,1,1,1,1,1,1,1,9,1,,,,,,1,1,1,1,1,1,1,7,10,,1,1,1,1,1,1,6,2,,4,7,,0,,4,1,0,,,
60652,2016,1053,70,1,1,1,1,,15,1,2,10,1946,,6,5,2,2,3,5,1,5,3,2,1,3,5,4,14,1,1,,1,,,,,,,,,,,,1,1,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,2,,1,1,1,,4,,,3,1,4,5,1,2,3,3,,,3,,,,1,2,1,3,3,3,2,2,1,2,2,3,3,2,3,2,4,5,1,2,3,4,2,5,3,1,7,2,2,2,2,1,,2,5,2,,,,,,,,2,1,1,1,4,2,,,2,3,1,1,2,2,1,,,,,,,2,7,6,1,1,2,2,3,4,1,2,1,2,,,2,1,3,1,1,,0,2,,0,0,,2,3,1,1,,,,,2,2,1,618,10,9,618,1,1,3238,.4784967557,.3933618654,.4784967557,1,1,93,48,,1,1,2,,6,2,,,,,,2,,,,3,4,," ",,,,,,,,3,2,,,,,,,1,,,17,3,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,3,3,13,3,4,52.1,54.2,62.4,,,,,,1,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,2,,3,7,,0,1,,5,0,3,3,3
60653,2016,1054,70,2,1,1,1,,13,1,0,,1946,,12,5,2,2,2,4,0,4,2,3,1,3,5,4,14,1,1,,2,,,,,,,,,,,,2,1,2,2,1,2,1,3,2,1,4,2,1,5,2,1,5,2,1,4,2,1,4,2,1,5,2,2,1,,1,,,5,,,,4,1,2,,3,,,9,9,3,,1,1,1,2,1,2,2,2,1,2,2,2,1,3,2,1,2,1,4,5,1,3,2,,,,,2,7,3,2,2,2,4,1,2,6,,1,1,1,1,1,1,1,,,,,,,2,4,2,,,,,,,2,2,2,2,,4,,,6,1,1,2,,,,,,,,2,,2,3,1,3,,,,,,,,,,3,1,1,,,,,3,3,1,618,10,9,618,1,1,3238,.4784967557,.3933618654,.4784967557,1,1,111,48,,1,1,2,,6,1,,,,,2,2,,,1,1,2,2," ",,,,2,,,,2,1,8,8,7,7,6,7,1,,4,18,3,1,1,2005,1,2,0,2,0,2,,1,4,2,5,2,2,1,2,1,,,,,0,0,0,0,0,10,,2,4,1,,4,3,69.3,86.7,68.4,,2,2005,2,2,4,5,,2,2,,,,,,,,,,,,0,,,,,,,,,,,,4,4,4,16,37,1,1,1,1,1,1,1,7,,1,1,1,1,1,1,1,6,,3,,,,0,0,,5,1,3,3,3
60654,2016,1055,79,1,1,1,1,,16,3,0,8,1937,,8,5,1,2,1,2,3,5,3,2,1,3,5,4,14,1,2,,6,,,,,,,,,,,,1,2,1,2,1,1,1,,2,1,4,1,1,4,1,1,4,2,2,5,1,,4,,1,5,1,1,2,2,,,2,1,70,,2,2,3,2,2,2,4,1,5,4,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,2,3,5,6,3,5,2,3,3,,,3,,,1,1,2,1,2,1,2,2,3,4,2,3,2,1,1,1,,2,1,1,2,2,,3,3,3,3,3,4,2,4,3,1,2,2,3,2,2,2,2,2,1,,,,,,,1,,0,2,,12,0,2,4,,1,1,,,,,1,1,1,618,10,9,618,1,1,3238,.9569935115,.7867237307,.9569935115,1,1,123,38,,1,1,2,50,1,,1,2,1,2,,,2,1,,,,," ",2,2,4,,3,2,7,,2,,,,,,,1,,4,19,2,,,,,,,,,1,,,,,,,,,,,2,2,2,1,,,,,,,,1,4,2,,3,2,33.9,29.5,40,,,,,,,,,,,1,1,1,,1,,1,2,1,2,,4,1,1,1,,1,,1,1,0,,1,,,,,,0,1,0,1,0,1,0,3,7,,1,1,,0,1,1,,2,,2,3,,0,,,5,0,,,
60655,2016,1056,59,1,1,1,1,,16,1,0,,1957,,11,1,2,2,5,3,1,6,3,2,1,3,3,4,49,1,1,,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,7,2,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,2,1,2,1,,,1,11,,2,8,1,1,,1,,,9,9,2,,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,4,5,2,3,1,,,,,3,1,2,1,4,1,4,1,1,1,,1,1,1,2,1,2,2,,,,,,,1,4,2,,,,,,,2,2,2,2,,4,,,6,1,1,1,,,,,,,,3,3,3,1,1,3,,,,,,,,,,3,1,1,,,,,3,3,1,618,10,9,618,2,1,3238,.7821816815,.6430146946,.7821816815,1,1,108,38,,1,1,2,75,1,1,,,,,,2,,,,4,2,," ",,,,,,,,2,,8,8,7,8,8,8,1,,4,13,3,,,,2,,,,,2,40,,4,1,4,1,1,5,,,,,,,0,4,0,5,0,1,1,1,5,,13,3,3,51.7,80.7,33.6,1,,,,,4,4,40,,,,,,,,,,,,,20,2,,,,,,,,,,,,5,5,5,22,41,0,1,0,1,1,1,0,4,,2,1,1,1,1,1,1,6,,,,,,0,0,4,4,0,3,3,3
60656,2016,1057,61,2,1,1,1,,16,3,0,10,1955,,11,1,2,2,1,7,3,3,3,3,1,3,3,4,49,1,1,,2,,,,,,,,,,,,1,2,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,2,,1,1,1,,4,,,3,4,4,1,1,2,4,5,,,2,1,,,1,2,1,3,2,2,2,1,2,2,2,2,2,1,3,2,4,5,1,3,2,5,5,3,4,3,6,1,1,3,2,4,,3,1,2,,,,,,,,8,2,1,3,4,3,,,2,4,1,1,2,2,2,,,,,,,3,2,6,1,1,2,2,3,4,1,2,1,2,,,3,3,3,,1,,0,30,,7,0,,1,1,1,1,,,,,2,2,1,618,10,9,618,1,1,3238,.9569935115,.7867237307,.9569935115,1,1,112,38,,1,1,2,,1,1,,,,,2,2,,,2,1,2,2," ",,,,2,,,,2,2,,,,,,,1,,,24,1,1,1,1998,1,1,0,1,0,2,,2,,,,,,,,1,,,,,,,,,,,2,1,4,2,18,3,3,62.9,90.6,43.6,,2,2013,1,2,4,3,,2,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,2,2,3,7,,0,0,,5,1,3,3,3
60657,2016,1058,68,1,1,1,1,,14,1,3,6,1948,,4,5,2,2,1,3,0,6,3,2,1,3,3,4,49,1,,,4,2,2,3,2,3,3,3,3,2,1,3,3,1,3,1,3,3,1,,2,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,2,2,3,,,1,2,,,2,8,1,1,1,2,4,5,5,5,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,7,3,5,5,2,5,1,1,3,,,1,,,2,2,2,2,2,2,2,2,7,3,1,2,1,1,1,1,,3,2,2,2,2,2,2,2,2,2,,4,2,2,3,1,1,1,1,3,3,2,2,1,2,,,,,,,1,,0,0,1,2,0,3,3,,1,1,,,,,1,1,1,618,10,9,618,1,1,3238,.9569935115,.7867237307,.9569935115,1,1,157,38,,1,1,2,,1,,,1,4,1,,,1,,,,,," ",1,1,2,,5,1,3,,,,,,,,,1,,4,19,2,,,,,,,,,2,,,,,,,,,,,1,1,1,1,,,,,,,,1,2,,,2,1,46.5,42,59.9,,,,,,,,,,,1,1,1,1,1,1,1,2,8,2,42,3,1,1,1,1,1,1,1,1,0,9,1,,,,,,0,0,0,0,0,0,0,0,12,,1,1,1,1,1,1,6,0,,4,7,,0,,3,5,0,,,
60658,2016,1059,29,1,2,1,2,,12,1,0,,1987,,9,1,2,2,5,5,0,6,3,2,1,3,3,4,49,1,1,,6,,,,,,,,,,,,1,2,2,2,2,1,1,4,1,1,4,1,2,4,1,1,5,2,2,4,2,1,4,2,2,4,1,,1,1,1,,,1,18,,1,5,2,2,,1,,,9,9,2,,2,1,1,1,2,3,2,1,3,1,2,3,2,2,3,2,3,1,5,4,1,2,3,,,,,3,1,2,1,3,1,4,1,2,1,,1,1,2,1,1,1,1,,,,,,,1,4,1,,,,,,,2,2,2,2,,4,,,3,1,1,2,,,,,,,,3,,3,3,3,3,,,,,,,,,,3,1,1,,,,,3,3,1,618,10,9,618,1,1,3238,.4784967557,.3933618654,.4784967557,1,1,110,38,,1,1,2,,1,1,,,,,2,2,,,1,3,1,2," ",,,,2,,,,2,2,8,6,8,6,8,6,1,,4,18,3,1,1,1997,1,8,0,5,0,2,30,1,4,1,4,2,1,4,,1,,,,,0,5,0,0,0,5,1,2,3,2,18,4,2,66.2,79.9,70.3,1,1,2005,2,1,4,4,40,2,2,,,,,,,,,,,,0,,,,,,,,,,,,5,4,5,20,36,1,1,1,0,1,1,1,6,,0,1,1,1,0,0,0,3,,5,,,,1,0,,1,0,1,1,1
60659,2016,1060,31,2,2,1,2,,12,1,0,5,1985,,7,2,2,2,5,1,3,6,3,2,1,3,3,4,49,1,1,,4,,,,,,,,,,,,3,1,1,1,1,2,2,,1,1,4,2,1,5,2,1,5,2,1,5,1,1,4,2,1,5,1,1,1,,,,1,1,18,,1,1,2,4,1,2,4,3,9,5,2,,3,2,,,,,,,,,,,,,,,,,,,,,,3,7,5,6,2,5,3,1,2,,,1,,,1,,2,1,1,1,2,,4,1,1,2,4,1,1,4,,1,1,2,2,2,2,2,2,2,2,,4,5,3,6,1,2,2,1,2,3,2,2,2,2,,,,,,,1,,0,7,,35,0,2,3,,1,1,,,,,1,1,1,618,10,9,618,2,1,3238,.7821816815,.6430146946,.7821816815,1,1,88,38,,1,1,2,75,1,,1,1,3,4,,,4,1,,,,," ",1,2,2,,5,8,7,,2,,,,,,,1,,4,10,3,,,,,,,,,2,,,,,,,,,,,1,1,1,1,,,,,,,,2,4,3,8,4,2,24.2,40.8,11.3,,,,,,,,,,,1,1,8,,1,,1,2,2,2,,1,1,1,0,,1,,1,1,1,,1,,,,,,,,1,1,0,1,0,,12,,1,1,1,1,1,1,6,1,,4,6,,1,,,2,1,,,
60660,2016,1061,32,1,1,1,1,,18,3,0,9,1984,,2,1,2,2,5,3,0,5,3,2,1,3,3,4,49,2,,1,2,,,,,,,,,,,,1,2,1,2,2,1,1,3,,,,,,,,,,,,,,,,,,,,1,,3,1,1,,2,,,2,3,2,2,1,2,1,4,,,2,,,,1,2,1,2,2,2,2,1,2,3,1,3,2,1,2,2,5,4,3,2,1,2,7,3,5,2,4,1,1,3,1,4,,3,2,2,,,,,,,,8,2,1,3,4,2,,,2,2,1,1,2,2,2,,,,,,,1,2,3,1,1,2,1,3,4,1,2,1,2,,,3,2,2,2,1,,0,10,,20,0,,2,3,1,1,,,,,2,2,1,618,10,9,618,2,1,3238,.7821816815,.6430146946,.7821816815,1,1,118,38,,1,1,2,75,1,2,,,,,2,2,,,2,1,4,2," ",,,,2,,,,1,2,,,,,,,1,,,16,3,1,1,1996,1,5,0,5,0,2,,2,,,,,,,,2,,,,,,,,,,,1,2,4,2,16,4,2,62.9,90.6,43.6,,2,2006,2,1,4,4,,2,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,2,1,4,8,1,0,0,,2,0,3,3,3
60661,2016,1062,27,2,2,1,2,,12,1,0,4,1989,,5,2,2,2,5,2,2,5,3,1,1,3,3,4,49,1,1,,2,2,2,1,2,1,2,1,1,2,3,3,2,2,2,2,2,2,2,,2,1,4,1,2,5,1,1,5,2,1,5,1,1,4,2,2,5,1,1,1,3,,,1,1,18,,1,2,2,1,2,1,1,1,4,6,2,,3,1,,,,,,,,,,,,,,,,,,,,,,3,7,4,7,2,5,3,2,1,,,1,,,2,2,2,1,2,1,2,2,3,1,1,3,4,2,1,4,,3,1,1,2,2,2,2,2,2,2,,4,5,2,6,1,1,1,2,2,1,1,2,1,2,,,,,,,1,,0,1,,6,0,2,2,,1,1,,,,,1,1,1,618,10,9,618,1,1,3238,.9569935115,.7867237307,.9569935115,1,1,91,38,,1,1,2,75,1,,,3,3,1,,,1,,,,,," ",1,3,3,,6,1,5,,,,,,,,,1,,4,11,3,,,,,,,,,2,,,,,,,,,,,2,1,1,1,,,,,,,,2,4,,10,4,2,13.6,22.3,4.1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,34,0,1,1,1,1,1,1,1,0,0,8,1,,,,,,0,0,0,1,0,1,0,2,11,,1,1,1,1,0,0,4,2,,3,3,,1,,2,1,1,,,
